ID,Tower company,Structure Type,Radio frequency ,Birds affected,Death Rate(in %),Location,Total Towers(Present),Total Towers(before 5 years)
20400,AT&T,LTower,531,Sparrow,60,Alabama,866,243
20401,AT&T,MTower,702,Bulbul,34,Alaska,848,59
20402,Mint Mobile,GTower,513,Kite,73,Arizona,305,247
20403,Lyca Mobile,LTower,792,Spotted Dove,40,Arkansas,884,222
20404,Verizon,GTower,643,Bulbul,75,California,345,112
20405,T-Mobile,LTower,776,Kite,30,Colorado,604,195
20406,Lyca Mobile,MTower,422,Spotted Dove,80,Connecticut,245,282
20407,AT&T,LTower,676,Sparrow,62,Delaware,382,270
20408,Mint Mobile,GTower,508,Sparrow,35,Florida,443,250
20409,Verizon,GTower,372,Bulbul,38,Georgia,619,107
20410,Lyca Mobile,MTower,565,Kite,60,Hawaii,531,78
20411,T-Mobile,LTower,849,Bulbul,65,Idaho,478,68
20412,AT&T,MTower,822,Sparrow,79,Illinois,829,175
20413,AT&T,GTower,423,Spotted Dove,22,Indiana,150,256
20414,Mint Mobile,LTower,676,Kite,24,Iowa,221,145
20415,Lyca Mobile,MTower,473,Bulbul,40,Kansas,829,172
20416,Verizon,GTower,804,Sparrow,25,Kentucky,835,163
20417,T-Mobile,LTower,583,Spotted Dove,79,Louisiana,557,65
20418,Lyca Mobile,GTower,511,Bulbul,65,Maine,422,138
20419,AT&T,LTower,700,Kite,59,Maryland,126,274
20420,Mint Mobile,MTower,332,Sparrow,61,Massachusetts,729,229
20421,Verizon,LTower,589,Spotted Dove,37,Michigan,450,220
20422,Lyca Mobile,GTower,654,Kite,63,Minnesota,386,110
20423,T-Mobile,GTower,640,Bulbul,35,Mississippi,394,267
20424,AT&T,MTower,658,Sparrow,25,Missouri,463,92
20425,AT&T,LTower,652,Bulbul,76,Montana,141,82
20426,Mint Mobile,MTower,801,Kite,49,Nebraska,472,216
20427,Lyca Mobile,GTower,362,Spotted Dove,73,Nevada,193,54
20428,Verizon,LTower,498,Bulbul,32,New Hampshire,685,290
20429,T-Mobile,MTower,425,Kite,43,New Jersey,509,56
20430,Lyca Mobile,GTower,664,Spotted Dove,58,New Mexico,794,191
20431,AT&T,LTower,625,Sparrow,24,New York,246,265
20432,Mint Mobile,GTower,456,Sparrow,59,North Carolina,781,75
20433,Verizon,LTower,536,Bulbul,73,North Dakota,120,266
20434,Lyca Mobile,MTower,381,Kite,23,Ohio,201,55
20435,T-Mobile,LTower,743,Bulbul,62,Oklahoma,203,133
20436,AT&T,GTower,840,Sparrow,63,Oregon,167,216
20437,AT&T,GTower,647,Spotted Dove,43,Pennsylvania,145,209
20438,Mint Mobile,MTower,684,Kite,57,Rhode Island,333,270
20439,Lyca Mobile,LTower,688,Bulbul,74,South Carolina,262,174
20440,Verizon,MTower,665,Sparrow,52,South Dakota,675,154
20441,T-Mobile,GTower,711,Spotted Dove,43,Tennessee,634,102
20442,Lyca Mobile,LTower,742,Bulbul,74,Texas,141,178
20443,AT&T,MTower,802,Kite,31,Utah,849,51
20444,Mint Mobile,GTower,550,Sparrow,59,Vermont,845,50
20445,Verizon,LTower,595,Spotted Dove,34,Virginia,355,253
20446,Lyca Mobile,GTower,403,Kite,56,Washington,606,64
20447,T-Mobile,LTower,694,Bulbul,43,West Virginia,100,244
20448,AT&T,MTower,800,Sparrow,26,Wisconsin,623,83
20449,AT&T,LTower,672,Bulbul,34,Wyoming,628,120
20450,Mint Mobile,GTower,864,Kite,52,Montgomery,835,122
20451,Lyca Mobile,GTower,444,Spotted Dove,69,Juneau,789,237
20452,Verizon,MTower,870,Sparrow,29,Phoenix,422,233
20453,T-Mobile,LTower,831,Sparrow,59,Little Rock,270,92
20454,Lyca Mobile,MTower,302,Bulbul,39,Sacramento,139,77
20455,AT&T,GTower,540,Kite,29,Denver,749,105
20456,Mint Mobile,LTower,828,Bulbul,40,Hartford,115,219
20457,Verizon,MTower,844,Sparrow,27,Dover,652,157
20458,Lyca Mobile,GTower,880,Spotted Dove,24,Tallahassee,306,127
20459,T-Mobile,LTower,568,Kite,38,Atlanta,627,75
20460,AT&T,GTower,800,Bulbul,54,Honolulu,578,93
20461,AT&T,LTower,347,Sparrow,33,Boise,411,235
20462,Mint Mobile,MTower,889,Spotted Dove,52,Springfield,351,259
20463,Lyca Mobile,LTower,830,Bulbul,23,Indianapolis,776,225
20464,Verizon,GTower,322,Kite,54,Des Moines,301,269
20465,T-Mobile,GTower,830,Sparrow,31,Topeka,415,271
20466,Lyca Mobile,MTower,573,Spotted Dove,78,Frankfort,578,133
20467,AT&T,LTower,832,Kite,75,Baton Rouge,323,69
20468,Mint Mobile,MTower,486,Bulbul,51,Augusta,793,172
20469,Verizon,GTower,337,Sparrow,51,Annapolis,689,171
20470,Lyca Mobile,LTower,626,Bulbul,30,Boston,817,176
20471,T-Mobile,MTower,389,Kite,57,Lansing,427,152
20472,AT&T,GTower,332,Spotted Dove,62,St. Paul,133,247
20473,AT&T,LTower,788,Sparrow,67,Jackson,355,285
20474,Mint Mobile,GTower,698,Sparrow,20,Jefferson City,499,73
20475,Lyca Mobile,LTower,687,Bulbul,66,Helena,169,299
20476,Verizon,MTower,859,Kite,68,Lincoln,543,266
20477,T-Mobile,LTower,368,Bulbul,74,Carson City,378,221
20478,Lyca Mobile,GTower,782,Sparrow,25,Concord,239,131
20479,AT&T,GTower,565,Spotted Dove,60,Trenton,737,202
20480,Mint Mobile,MTower,433,Kite,58,Santa Fe,393,168
20481,Verizon,LTower,842,Bulbul,37,Albany,847,113
20482,Lyca Mobile,MTower,433,Sparrow,59,Raleigh,900,231
20483,T-Mobile,GTower,762,Spotted Dove,53,Bismarck,572,262
20484,AT&T,LTower,754,Bulbul,70,Columbus,823,139
20485,AT&T,MTower,483,Kite,79,Oklahoma City,327,80
20486,Mint Mobile,GTower,820,Sparrow,40,Salem,240,77
20487,Lyca Mobile,LTower,536,Spotted Dove,30,Harrisburg,794,281
20488,Verizon,GTower,578,Kite,25,Providence,665,183
20489,T-Mobile,LTower,721,Bulbul,72,Columbia,613,168
20490,Lyca Mobile,MTower,850,Sparrow,69,Pierre,167,164
20491,AT&T,LTower,664,Bulbul,33,Nashville,269,116
20492,Mint Mobile,GTower,341,Kite,68,Austin,551,183
20493,Verizon,GTower,382,Spotted Dove,76,Salt Lake City,434,131
20494,Lyca Mobile,MTower,756,Sparrow,20,Montpelier,552,151
20495,T-Mobile,LTower,567,Sparrow,36,Richmond,455,200
20496,AT&T,MTower,562,Bulbul,41,Olympia,542,257
20497,AT&T,GTower,891,Kite,33,Charleston,823,165
20498,Mint Mobile,LTower,796,Bulbul,45,Madison,669,135
20499,Lyca Mobile,MTower,892,Sparrow,70,Cheyenne,865,247
20500,Verizon,GTower,535,Spotted Dove,53,Alabama,698,73
20501,T-Mobile,LTower,426,Kite,69,Alaska,773,239
20502,Lyca Mobile,GTower,313,Bulbul,38,Arizona,142,91
20503,AT&T,LTower,804,Sparrow,31,Arkansas,163,178
20504,Mint Mobile,MTower,843,Spotted Dove,56,California,612,230
20505,Verizon,LTower,433,Bulbul,37,Colorado,853,140
20506,Lyca Mobile,GTower,393,Kite,20,Connecticut,460,88
20507,T-Mobile,GTower,701,Sparrow,49,Delaware,588,128
20508,AT&T,MTower,463,Spotted Dove,23,Florida,172,103
20509,AT&T,LTower,676,Kite,25,Georgia,635,102
20510,Mint Mobile,MTower,451,Bulbul,77,Hawaii,411,234
20511,Lyca Mobile,GTower,334,Sparrow,66,Idaho,750,112
20512,Verizon,LTower,460,Bulbul,73,Illinois,451,293
20513,T-Mobile,MTower,663,Kite,38,Indiana,804,216
20514,Lyca Mobile,GTower,641,Spotted Dove,38,Iowa,347,163
20515,AT&T,LTower,544,Sparrow,61,Kansas,108,278
20516,Mint Mobile,GTower,555,Sparrow,61,Kentucky,510,203
20517,Verizon,LTower,687,Bulbul,47,Louisiana,708,142
20518,Lyca Mobile,MTower,802,Kite,35,Maine,539,297
20519,T-Mobile,LTower,812,Bulbul,31,Maryland,332,74
20520,AT&T,GTower,564,Sparrow,30,Massachusetts,732,116
20521,AT&T,GTower,459,Spotted Dove,20,Michigan,658,91
20522,Mint Mobile,MTower,390,Kite,42,Minnesota,630,142
20523,Lyca Mobile,LTower,670,Bulbul,38,Mississippi,359,282
20524,Verizon,MTower,725,Sparrow,68,Missouri,629,282
20525,T-Mobile,GTower,672,Spotted Dove,78,Montana,734,292
20526,Lyca Mobile,LTower,439,Bulbul,35,Nebraska,639,110
20527,AT&T,MTower,767,Kite,47,Nevada,787,296
20528,Mint Mobile,GTower,596,Sparrow,60,New Hampshire,323,274
20529,Verizon,LTower,471,Spotted Dove,39,New Jersey,298,62
20530,Lyca Mobile,GTower,684,Kite,38,New Mexico,712,295
20531,T-Mobile,LTower,492,Bulbul,76,New York,470,141
20532,AT&T,MTower,560,Sparrow,77,North Carolina,809,167
20533,AT&T,LTower,734,Bulbul,64,North Dakota,784,189
20534,Mint Mobile,GTower,568,Kite,60,Ohio,833,287
20535,Lyca Mobile,GTower,820,Spotted Dove,67,Oklahoma,688,127
20536,Verizon,MTower,538,Sparrow,47,Oregon,297,106
20537,T-Mobile,LTower,764,Sparrow,70,Pennsylvania,786,73
20538,Lyca Mobile,MTower,734,Bulbul,49,Rhode Island,251,134
20539,AT&T,GTower,478,Kite,26,South Carolina,208,84
20540,Mint Mobile,LTower,678,Bulbul,72,South Dakota,574,193
20541,Verizon,MTower,447,Sparrow,30,Tennessee,895,184
20542,Lyca Mobile,GTower,732,Spotted Dove,27,Texas,466,240
20543,T-Mobile,LTower,821,Kite,80,Utah,296,95
20544,AT&T,GTower,633,Bulbul,45,Vermont,396,98
20545,AT&T,LTower,590,Sparrow,64,Virginia,777,249
20546,Mint Mobile,MTower,604,Spotted Dove,47,Washington,397,68
20547,Lyca Mobile,LTower,862,Bulbul,64,West Virginia,741,84
20548,Verizon,GTower,773,Kite,38,Wisconsin,775,208
20549,T-Mobile,GTower,761,Sparrow,68,Wyoming,790,57
20550,Lyca Mobile,MTower,674,Spotted Dove,58,Montgomery,217,217
20551,AT&T,LTower,868,Kite,36,Juneau,609,293
20552,Mint Mobile,MTower,672,Bulbul,77,Phoenix,721,233
20553,Verizon,GTower,418,Sparrow,35,Little Rock,115,224
20554,Lyca Mobile,LTower,392,Bulbul,21,Sacramento,359,208
20555,T-Mobile,MTower,705,Kite,58,Denver,442,267
20556,AT&T,GTower,315,Spotted Dove,71,Hartford,167,105
20557,AT&T,LTower,820,Sparrow,78,Dover,448,167
20558,Mint Mobile,GTower,898,Sparrow,24,Tallahassee,562,222
20559,Lyca Mobile,LTower,604,Bulbul,32,Atlanta,724,254
20560,Verizon,MTower,732,Kite,32,Honolulu,297,165
20561,T-Mobile,LTower,899,Bulbul,24,Boise,833,246
20562,Lyca Mobile,GTower,852,Sparrow,27,Springfield,884,190
20563,AT&T,GTower,590,Spotted Dove,54,Indianapolis,761,262
20564,Mint Mobile,MTower,782,Kite,43,Des Moines,867,219
20565,Verizon,LTower,383,Bulbul,54,Topeka,117,75
20566,Lyca Mobile,MTower,300,Sparrow,67,Frankfort,264,86
20567,T-Mobile,GTower,634,Spotted Dove,62,Baton Rouge,529,56
20568,AT&T,LTower,361,Bulbul,55,Augusta,658,90
20569,AT&T,MTower,819,Kite,73,Annapolis,832,285
20570,Mint Mobile,GTower,554,Sparrow,20,Boston,423,264
20571,Lyca Mobile,LTower,404,Spotted Dove,33,Lansing,398,251
20572,Verizon,GTower,576,Kite,66,St. Paul,289,131
20573,T-Mobile,LTower,422,Bulbul,48,Jackson,230,232
20574,Lyca Mobile,MTower,443,Sparrow,42,Jefferson City,336,134
20575,AT&T,LTower,642,Bulbul,30,Helena,585,199
20576,Mint Mobile,GTower,665,Kite,46,Lincoln,628,79
20577,Verizon,GTower,302,Spotted Dove,58,Carson City,591,83
20578,Lyca Mobile,MTower,306,Sparrow,55,Concord,379,191
20579,T-Mobile,LTower,438,Sparrow,36,Trenton,715,254
20580,AT&T,MTower,767,Bulbul,57,Santa Fe,839,150
20581,AT&T,GTower,533,Kite,20,Albany,504,51
20582,Mint Mobile,LTower,751,Bulbul,25,Raleigh,524,96
20583,Lyca Mobile,MTower,736,Sparrow,39,Bismarck,318,155
20584,Verizon,GTower,722,Spotted Dove,78,Columbus,548,295
20585,T-Mobile,LTower,637,Kite,70,Oklahoma City,167,191
20586,Lyca Mobile,GTower,849,Bulbul,67,Salem,151,67
20587,AT&T,LTower,698,Sparrow,76,Harrisburg,742,143
20588,Mint Mobile,MTower,540,Spotted Dove,58,Providence,296,187
20589,Verizon,LTower,320,Bulbul,80,Columbia,431,227
20590,Lyca Mobile,GTower,355,Kite,66,Pierre,793,183
20591,T-Mobile,GTower,658,Sparrow,64,Nashville,562,117
20592,AT&T,MTower,712,Spotted Dove,40,Austin,553,129
20593,AT&T,LTower,437,Kite,50,Salt Lake City,496,287
20594,Mint Mobile,MTower,895,Bulbul,71,Montpelier,509,300
20595,Lyca Mobile,GTower,353,Sparrow,33,Richmond,330,298
20596,Verizon,LTower,896,Bulbul,53,Olympia,225,72
20597,T-Mobile,MTower,710,Kite,68,Charleston,448,187
20598,Lyca Mobile,GTower,640,Spotted Dove,27,Madison,371,225
20599,AT&T,LTower,707,Sparrow,34,Cheyenne,182,71
20600,Mint Mobile,GTower,733,Sparrow,68,Alabama,447,150
20601,Verizon,LTower,606,Bulbul,80,Alaska,280,64
20602,Lyca Mobile,MTower,367,Kite,72,Arizona,415,83
20603,T-Mobile,LTower,523,Bulbul,32,Arkansas,574,260
20604,AT&T,GTower,514,Sparrow,56,California,805,282
20605,AT&T,GTower,642,Spotted Dove,66,Colorado,507,199
20606,Mint Mobile,MTower,761,Kite,74,Connecticut,587,118
20607,Lyca Mobile,LTower,372,Bulbul,57,Delaware,814,140
20608,Verizon,MTower,630,Sparrow,39,Florida,236,232
20609,T-Mobile,GTower,717,Spotted Dove,42,Georgia,574,59
20610,Lyca Mobile,LTower,603,Bulbul,55,Hawaii,146,256
20611,AT&T,MTower,621,Kite,49,Idaho,130,212
20612,Mint Mobile,GTower,351,Sparrow,68,Illinois,267,81
20613,Verizon,LTower,473,Spotted Dove,37,Indiana,133,221
20614,Lyca Mobile,GTower,559,Kite,49,Iowa,284,175
20615,T-Mobile,LTower,404,Bulbul,35,Kansas,686,145
20616,AT&T,MTower,327,Sparrow,50,Kentucky,430,132
20617,AT&T,LTower,429,Bulbul,33,Louisiana,603,58
20618,Mint Mobile,GTower,429,Kite,79,Maine,394,110
20619,Lyca Mobile,GTower,531,Spotted Dove,53,Maryland,686,198
20620,Verizon,MTower,704,Sparrow,27,Massachusetts,421,145
20621,T-Mobile,LTower,343,Sparrow,79,Michigan,631,212
20622,Lyca Mobile,MTower,497,Bulbul,43,Minnesota,568,221
20623,AT&T,GTower,669,Kite,73,Mississippi,728,223
20624,Mint Mobile,LTower,885,Bulbul,56,Missouri,553,210
20625,Verizon,MTower,882,Sparrow,53,Montana,163,172
20626,Lyca Mobile,GTower,542,Spotted Dove,34,Nebraska,486,185
20627,T-Mobile,LTower,851,Kite,61,Nevada,548,97
20628,AT&T,GTower,445,Bulbul,22,New Hampshire,534,60
20629,AT&T,LTower,328,Sparrow,25,New Jersey,186,123
20630,Mint Mobile,MTower,528,Spotted Dove,48,New Mexico,809,193
20631,Lyca Mobile,LTower,428,Bulbul,24,New York,459,179
20632,Verizon,GTower,845,Kite,43,North Carolina,199,72
20633,T-Mobile,GTower,815,Sparrow,61,North Dakota,806,262
20634,Lyca Mobile,MTower,513,Spotted Dove,50,Ohio,458,198
20635,AT&T,LTower,682,Kite,68,Oklahoma,788,183
20636,Mint Mobile,MTower,853,Bulbul,50,Oregon,699,135
20637,Verizon,GTower,601,Sparrow,66,Pennsylvania,394,98
20638,Lyca Mobile,LTower,469,Bulbul,59,Rhode Island,550,61
20639,T-Mobile,MTower,570,Kite,59,South Carolina,317,52
20640,AT&T,GTower,836,Spotted Dove,69,South Dakota,689,146
20641,AT&T,LTower,514,Sparrow,69,Tennessee,823,179
20642,Mint Mobile,GTower,597,Sparrow,38,Texas,601,285
20643,Lyca Mobile,LTower,463,Bulbul,62,Utah,203,179
20644,Verizon,MTower,845,Kite,75,Vermont,315,101
20645,T-Mobile,LTower,596,Bulbul,30,Virginia,232,262
20646,Lyca Mobile,GTower,659,Sparrow,47,Washington,887,106
